,field_1,LocationID,Borough,Zone,service_zone,geometry
136,146,147,Bronx,Longwood,Boro Zone,"POLYGON ((-78.3973343 37.2985844, -78.39533429999999 37.2985844, -78.39533429999999 37.3005844, -78.3973343 37.3005844, -78.3973343 37.2985844))"
137,147,148,Manhattan,Lower East Side,Yellow Zone,"POLYGON ((-73.9960382 40.7091004, -73.9735436 40.7091004, -73.9735436 40.7241366, -73.9960382 40.7241366, -73.9960382 40.7091004))"
138,148,149,Brooklyn,Madison,Boro Zone,"POLYGON ((-89.57166 42.998213, -89.246635 42.998213, -89.246635 43.172032, -89.57166 43.172032, -89.57166 42.998213))"
139,149,150,Brooklyn,Manhattan Beach,Boro Zone,"POLYGON ((-118.475015 33.8610009, -118.378662 33.8610009, -118.378662 33.906141, -118.475015 33.906141, -118.475015 33.8610009))"
140,150,151,Manhattan,Manhattan Valley,Yellow Zone,"POLYGON ((-73.9718257 40.791684, -73.9582099 40.791684, -73.9582099 40.8041882, -73.9718257 40.8041882, -73.9718257 40.791684))"
141,151,152,Manhattan,Manhattanville,Boro Zone,"POLYGON ((-73.9568333 40.815944300000005, -73.95483329999999 40.815944300000005, -73.95483329999999 40.8179443, -73.9568333 40.8179443, -73.9568333 40.815944300000005))"
142,152,153,Manhattan,Marble Hill,Boro Zone,"POLYGON ((-73.915205 40.871678, -73.907005 40.871678, -73.907005 40.8792779, -73.915205 40.8792779, -73.915205 40.871678))"
143,153,154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,"POLYGON ((-73.8916091 40.5900174, -73.88960909999999 40.5900174, -73.88960909999999 40.592017399999996, -73.8916091 40.592017399999996, -73.8916091 40.5900174))"
144,154,155,Brooklyn,Marine Park/Mill Basin,Boro Zone,"POLYGON ((-73.92460609999999 40.602498, -73.9015319 40.602498, -73.9015319 40.619831, -73.92460609999999 40.619831, -73.92460609999999 40.602498))"
145,155,156,Staten Island,Mariners Harbor,Boro Zone,"POLYGON ((-73.9840968 41.9171223, -73.9820968 41.9171223, -73.9820968 41.9191223, -73.9840968 41.9191223, -73.9840968 41.9171223))"
146,156,157,Queens,Maspeth,Boro Zone,"POLYGON ((-73.92880439999999 40.7122838, -73.8848247 40.7122838, -73.8848247 40.7409005, -73.92880439999999 40.7409005, -73.92880439999999 40.7122838))"
